sdg,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
11.0,693654000,693654000,693654000,693654000,693654000,693654000,693654000,693654000,693654000,693654000,693654000,693654000,220726000,220726000,220726000,220726000,220726000,220726000,220726000,220726000,220726000,220726000,220726000,220726000,604656000,604656000,604656000,604656000,604656000,604656000,604656000,604656000,604656000,604656000,604656000,604656000,3864677000,3864677000,3864677000,3864677000,3864677000,3864677000,3864677000,3864677000,3864677000,3864677000,3864677000,3864677000,1420850000,1420850000,1420850000,1420850000,1420850000,1420850000,1420850000,1420850000,1420850000,1420850000,1420850000,1420850000
12.0,3603463000,3603463000,3603463000,3603463000,3603463000,3603463000,3603463000,3603463000,3603463000,3603463000,3603463000,3603463000,2316681000,2316681000,2316681000,2316681000,2316681000,2316681000,2316681000,2316681000,2316681000,2316681000,2316681000,2316681000,4256757000,4256757000,4256757000,4256757000,4256757000,4256757000,4256757000,4256757000,4256757000,4256757000,4256757000,4256757000,7270508000,7270508000,7270508000,7270508000,7270508000,7270508000,7270508000,7270508000,7270508000,7270508000,7270508000,7270508000,2930907000,2930907000,2930907000,2930907000,2930907000,2930907000,2930907000,2930907000,2930907000,2930907000,2930907000,2930907000
21.0,404752000000,404752000000,404752000000,404752000000,404752000000,404752000000,404752000000,404752000000,404752000000,404752000000,404752000000,404752000000,619290000000,619290000000,619290000000,619290000000,619290000000,619290000000,619290000000,619290000000,619290000000,619290000000,619290000000,619290000000,53903749000,53903749000,53903749000,53903749000,53903749000,53903749000,53903749000,53903749000,53903749000,53903749000,53903749000,53903749000,4860150000,4860150000,4860150000,4860150000,4860150000,4860150000,4860150000,4860150000,4860150000,4860150000,4860150000,4860150000,18233502000,18233502000,18233502000,18233502000,18233502000,18233502000,18233502000,18233502000,18233502000,18233502000,18233502000,18233502000
22.0,3278602000,3278602000,3278602000,3278602000,3278602000,3278602000,3278602000,3278602000,3278602000,3278602000,3278602000,3278602000,11422921000,11422921000,11422921000,11422921000,11422921000,11422921000,11422921000,11422921000,11422921000,11422921000,11422921000,11422921000,11705945000,11705945000,11705945000,11705945000,11705945000,11705945000,11705945000,11705945000,11705945000,11705945000,11705945000,11705945000,9219936000,9219936000,9219936000,9219936000,9219936000,9219936000,9219936000,9219936000,9219936000,9219936000,9219936000,9219936000,7791983000,7791983000,7791983000,7791983000,7791983000,7791983000,7791983000,7791983000,7791983000,7791983000,7791983000,7791983000
23.0,2205917000,2205917000,2205917000,2205917000,2205917000,2205917000,2205917000,2205917000,2205917000,2205917000,2205917000,2205917000,1800895000,1800895000,1800895000,1800895000,1800895000,1800895000,1800895000,1800895000,1800895000,1800895000,1800895000,1800895000,631924000,631924000,631924000,631924000,631924000,631924000,631924000,631924000,631924000,631924000,631924000,631924000,1331138000,1331138000,1331138000,1331138000,1331138000,1331138000,1331138000,1331138000,1331138000,1331138000,1331138000,1331138000,1650166000,1650166000,1650166000,1650166000,1650166000,1650166000,1650166000,1650166000,1650166000,1650166000,1650166000,1650166000
31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537171000,537171000,537171000,537171000,537171000,537171000,537171000,537171000,537171000,537171000,537171000,537171000,820967000,820967000,820967000,820967000,820967000,820967000,820967000,820967000,820967000,820967000,820967000,820967000,1165564000,1165564000,1165564000,1165564000,1165564000,1165564000,1165564000,1165564000,1165564000,1165564000,1165564000,1165564000
32.0,44544479000,44544479000,44544479000,44544479000,44544479000,44544479000,44544479000,44544479000,44544479000,44544479000,44544479000,44544479000,98495152000,98495152000,98495152000,98495152000,98495152000,98495152000,98495152000,98495152000,98495152000,98495152000,98495152000,98495152000,29873249000,29873249000,29873249000,29873249000,29873249000,29873249000,29873249000,29873249000,29873249000,29873249000,29873249000,29873249000,12693443000,12693443000,12693443000,12693443000,12693443000,12693443000,12693443000,12693443000,12693443000,12693443000,12693443000,12693443000,406062000000,406062000000,406062000000,406062000000,406062000000,406062000000,406062000000,406062000000,406062000000,406062000000,406062000000,406062000000
33.0,6831659000,6831659000,6831659000,6831659000,6831659000,6831659000,6831659000,6831659000,6831659000,6831659000,6831659000,6831659000,7437798000,7437798000,7437798000,7437798000,7437798000,7437798000,7437798000,7437798000,7437798000,7437798000,7437798000,7437798000,5128202000,5128202000,5128202000,5128202000,5128202000,5128202000,5128202000,5128202000,5128202000,5128202000,5128202000,5128202000,9432893000,9432893000,9432893000,9432893000,9432893000,9432893000,9432893000,9432893000,9432893000,9432893000,9432893000,9432893000,4590403000,4590403000,4590403000,4590403000,4590403000,4590403000,4590403000,4590403000,4590403000,4590403000,4590403000,4590403000
34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41.0,6373120000,6373120000,6373120000,6373120000,6373120000,6373120000,6373120000,6373120000,6373120000,6373120000,6373120000,6373120000,8681508000,8681508000,8681508000,8681508000,8681508000,8681508000,8681508000,8681508000,8681508000,8681508000,8681508000,8681508000,6038437000,6038437000,6038437000,6038437000,6038437000,6038437000,6038437000,6038437000,6038437000,6038437000,6038437000,6038437000,4711456000,4711456000,4711456000,4711456000,4711456000,4711456000,4711456000,4711456000,4711456000,4711456000,4711456000,4711456000,2854410000,2854410000,2854410000,2854410000,2854410000,2854410000,2854410000,2854410000,2854410000,2854410000,2854410000,2854410000
42.0,29425231000,29425231000,29425231000,29425231000,29425231000,29425231000,29425231000,29425231000,29425231000,29425231000,29425231000,29425231000,11437027000,11437027000,11437027000,11437027000,11437027000,11437027000,11437027000,11437027000,11437027000,11437027000,11437027000,11437027000,13287133000,13287133000,13287133000,13287133000,13287133000,13287133000,13287133000,13287133000,13287133000,13287133000,13287133000,13287133000,14234481000,14234481000,14234481000,14234481000,14234481000,14234481000,14234481000,14234481000,14234481000,14234481000,14234481000,14234481000,8501927000,8501927000,8501927000,8501927000,8501927000,8501927000,8501927000,8501927000,8501927000,8501927000,8501927000,8501927000
43.0,0,0,0,0,0,0,0,0,0,0,0,0,3484462000,3484462000,3484462000,3484462000,3484462000,3484462000,3484462000,3484462000,3484462000,3484462000,3484462000,3484462000,7542370000,7542370000,7542370000,7542370000,7542370000,7542370000,7542370000,7542370000,7542370000,7542370000,7542370000,7542370000,23938969000,23938969000,23938969000,23938969000,23938969000,23938969000,23938969000,23938969000,23938969000,23938969000,23938969000,23938969000,5158058000,5158058000,5158058000,5158058000,5158058000,5158058000,5158058000,5158058000,5158058000,5158058000,5158058000,5158058000
44.0,53517757000,53517757000,53517757000,53517757000,53517757000,53517757000,53517757000,53517757000,53517757000,53517757000,53517757000,53517757000,46149432000,46149432000,46149432000,46149432000,46149432000,46149432000,46149432000,46149432000,46149432000,46149432000,46149432000,46149432000,1844694000,1844694000,1844694000,1844694000,1844694000,1844694000,1844694000,1844694000,1844694000,1844694000,1844694000,1844694000,2188275000,2188275000,2188275000,2188275000,2188275000,2188275000,2188275000,2188275000,2188275000,2188275000,2188275000,2188275000,3294970000,3294970000,3294970000,3294970000,3294970000,3294970000,3294970000,3294970000,3294970000,3294970000,3294970000,3294970000
45.0,125850000,125850000,125850000,125850000,125850000,125850000,125850000,125850000,125850000,125850000,125850000,125850000,247964000,247964000,247964000,247964000,247964000,247964000,247964000,247964000,247964000,247964000,247964000,247964000,82612000,82612000,82612000,82612000,82612000,82612000,82612000,82612000,82612000,82612000,82612000,82612000,743082000,743082000,743082000,743082000,743082000,743082000,743082000,743082000,743082000,743082000,743082000,743082000,620310000,620310000,620310000,620310000,620310000,620310000,620310000,620310000,620310000,620310000,620310000,620310000
46.0,657596000,657596000,657596000,657596000,657596000,657596000,657596000,657596000,657596000,657596000,657596000,657596000,755333000,755333000,755333000,755333000,755333000,755333000,755333000,755333000,755333000,755333000,755333000,755333000,3403119000,3403119000,3403119000,3403119000,3403119000,3403119000,3403119000,3403119000,3403119000,3403119000,3403119000,3403119000,15927336000,15927336000,15927336000,15927336000,15927336000,15927336000,15927336000,15927336000,15927336000,15927336000,15927336000,15927336000,2063146000,2063146000,2063146000,2063146000,2063146000,2063146000,2063146000,2063146000,2063146000,2063146000,2063146000,2063146000
51.0,374788000,374788000,374788000,374788000,374788000,374788000,374788000,374788000,374788000,374788000,374788000,374788000,143894000,143894000,143894000,143894000,143894000,143894000,143894000,143894000,143894000,143894000,143894000,143894000,942453000,942453000,942453000,942453000,942453000,942453000,942453000,942453000,942453000,942453000,942453000,942453000,1591051000,1591051000,1591051000,1591051000,1591051000,1591051000,1591051000,1591051000,1591051000,1591051000,1591051000,1591051000,528953000,528953000,528953000,528953000,528953000,528953000,528953000,528953000,528953000,528953000,528953000,528953000
52.0,104516000,104516000,104516000,104516000,104516000,104516000,104516000,104516000,104516000,104516000,104516000,104516000,127990000,127990000,127990000,127990000,127990000,127990000,127990000,127990000,127990000,127990000,127990000,127990000,1117163000,1117163000,1117163000,1117163000,1117163000,1117163000,1117163000,1117163000,1117163000,1117163000,1117163000,1117163000,1106958000,1106958000,1106958000,1106958000,1106958000,1106958000,1106958000,1106958000,1106958000,1106958000,1106958000,1106958000,339039000,339039000,339039000,339039000,339039000,339039000,339039000,339039000,339039000,339039000,339039000,339039000
53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54.0,1677239000,1677239000,1677239000,1677239000,1677239000,1677239000,1677239000,1677239000,1677239000,1677239000,1677239000,1677239000,812900000,812900000,812900000,812900000,812900000,812900000,812900000,812900000,812900000,812900000,812900000,812900000,686554000,686554000,686554000,686554000,686554000,686554000,686554000,686554000,686554000,686554000,686554000,686554000,975691000,975691000,975691000,975691000,975691000,975691000,975691000,975691000,975691000,975691000,975691000,975691000,567815000,567815000,567815000,567815000,567815000,567815000,567815000,567815000,567815000,567815000,567815000,567815000
55.0,614358000,614358000,614358000,614358000,614358000,614358000,614358000,614358000,614358000,614358000,614358000,614358000,739313000,739313000,739313000,739313000,739313000,739313000,739313000,739313000,739313000,739313000,739313000,739313000,864134000,864134000,864134000,864134000,864134000,864134000,864134000,864134000,864134000,864134000,864134000,864134000,978766000,978766000,978766000,978766000,978766000,978766000,978766000,978766000,978766000,978766000,978766000,978766000,424347000,424347000,424347000,424347000,424347000,424347000,424347000,424347000,424347000,424347000,424347000,424347000
