IF baseline,IF optimized,delta_IF
0.9999999999994533,0.9999999999993565,-9.681144774731365e-14
0.9271034905941068,0.9995876880430494,0.07248419744894263
0.9983828827851131,0.9989797790018994,0.000596896216786269
0.9586657847433335,0.9527084942103022,-0.00595729053303129
0.9925371973477702,0.9920447643483155,-0.0004924329994547838
1.0,1.0,0.0
0.9991026732818521,0.9999703205490822,0.0008676472672300983
0.9999103235960307,0.9992539764952962,-0.0006563471007344779
0.9949235329601749,0.9946138069763683,-0.0003097259838066302
0.563746554181362,1.0,0.436253445818638
0.8679414311116925,0.9999997900930944,0.13205835898140184
0.7441679572552643,1.0,0.2558320427447357
0.9999999644042701,0.9999998484781984,-1.1592607163102286e-07
0.9999999072063865,0.9999998856459179,-2.1560468632664254e-08
0.9999999999102062,0.9999999999102062,0.0
0.9999999551820785,0.9999999568655104,1.6834318383729396e-09
0.9999999965408755,0.9999999828581145,-1.3682760924282888e-08
0.999999993215574,0.9999999895514895,-3.6640844802704464e-09
0.8744371537474095,0.9998445622285561,0.12540740848114662
0.9598133338478728,0.9628814697092797,0.003068135861406862
0.5370064557520342,0.9998929813478838,0.46288652559584964
0.9898041510822485,0.9863144472975314,-0.0034897037847171353
0.9980975239554105,0.9999908278752855,0.0018933039198749668
0.8394865791090728,0.9998640571548841,0.16037747804581137
0.9850769973131309,0.9894908748317118,0.004413877518580911
0.8991844396666084,1.0,0.10081556033339156
0.9668841866913909,0.9655362700087882,-0.0013479166826027011
0.7383129523688899,0.9999466187498741,0.2616336663809842
0.9374299261106432,0.999213145870167,0.06178321975952372
0.711226210845727,1.0,0.288773789154273
0.7199132768076231,1.0,0.28008672319237693
0.9997569201466657,0.9999828196103664,0.00022589946370066283
0.9999999943399938,0.9999999934436361,-8.963576547671437e-10
0.9999999999884345,0.9999999999482477,-4.018674282235679e-11
0.9999999999909338,0.9999999999915858,6.520339823623544e-13
0.9999999977486818,0.9999999943303892,-3.4182925379155904e-09
0.9999999909032303,0.9999999909032303,0.0
0.9999998039249175,0.9999998039249175,0.0
0.9995715691097605,0.9999777796860312,0.00040621057627066026
0.998626332218957,0.9998963928538022,0.0012700606348451382
0.9999999976112963,0.9999999946805264,-2.9307699600522596e-09
0.9999999988422634,0.9999999964290162,-2.4132472686844153e-09
0.9999999857981962,0.9999999791911318,-6.607064340080626e-09
0.4052080077230634,1.0,0.5947919922769366
0.4584089694279641,0.9999918561259352,0.541582886697971
0.9703314757838979,0.9614555837908562,-0.008875891993041729
0.9868384581765528,1.0,0.013161541823447198
0.7258745961185389,0.9999744300115669,0.27409983389302806
0.986660285490198,0.9921882000918824,0.005527914601684336
0.9963605098817016,0.9999972557322971,0.0036367458505955907
0.9937835912766667,0.994964388496379,0.001180797219712315
0.869690092941027,0.9964101091115399,0.12672001617051298
0.9902890248989192,0.993783415176445,0.0034943902775257385
0.9293689082008175,0.9994803382889242,0.07011143008810672
0.7219746635506334,0.999820686772493,0.2778460232218596
0.9999999994862404,0.9999999991290474,-3.571930529133738e-10
1.0,1.0,0.0
0.9999999948653848,0.9999999833450804,-1.1520304377121704e-08
0.99999997961774,0.9999999762837508,-3.333989195830611e-09
0.7273659574823965,1.0,0.2726340425176035
0.5430474050064927,0.9985834473783848,0.45553604237189205
0.9574695771391901,0.9803228954427664,0.022853318303576287
0.9530536995774815,0.9517907660009306,-0.0012629335765509397
