seriesCode,Budget baseline,Budget optimized,delta_budget,IF baseline,IF optimized,delta_IF
gci11_Lonline,4948887000,4948887000,0,1,1,-9.68E-14
gci11_Lforgery,39000000,859126063.3,820126063.3,0.927103491,0.999587688,0.072484197
gci11_Lolsafety,79195000,160695766,81500766,0.998382883,0.998979779,0.000596896
gci12_Rpdp,462917000,462917000,0,0.958665785,0.952708494,-0.005957291
gci12_Rprivacy,486530000,486530000,0,0.992537197,0.992044764,-0.000492433
gci12_Rnotif,815498000,815498000,0,1,1,0
gci12_RAuditre,561720000,561720000,0,0.999102673,0.999970321,0.000867647
gci12_Rstandard,2330601000,2330601000,0,0.999910324,0.999253976,-0.000656347
gci12_Rsign,438909000,438909000,0,0.994923533,0.994613807,-0.000309726
gci12_Rspam,1.00E-12,160695766,160695766,0.563746554,1,0.436253446
gci12_Rciip,330522000,1868771573,1538249573,0.867941431,0.99999979,0.132058359
gci12_Rcop,1.00E-12,160695766,160695766,0.744167957,1,0.255832043
gci21_NatCsirt,4.52E+11,90400000000,-3.616E+11,0.999999964,0.999999848,-1.16E-07
gci21_Nactivity,3911248000,782249600,-3128998400,0.999999907,0.999999886,-2.16E-08
gci21_Nfirst,1.00E-12,1.00E-12,0,1,1,0
gci21_NregCisrt,1.00E-12,1.00E-12,0,0.999999955,0.999999957,1.68E-09
gci22_Scsirt,14385344000,2877068800,-11508275200,0.999999997,0.999999983,-1.37E-08
gci22_Sactivity,1499630000,299926000,-1199704000,0.999999993,0.99999999,-3.66E-09
gci23_FStandard,957422000,3860655790,2903233790,0.874437154,0.999844562,0.125407408
gci23_Fciip,1427025000,1427025000,0,0.959813334,0.96288147,0.003068136
gci31_Nstrategy,64998000,712841613.6,647843613.6,0.537006456,0.999892981,0.462886526
gci31_Npriority,442759000,442759000,0,0.989804151,0.986314447,-0.003489704
gci32_Acyber,2.52E+11,2.52E+11,0,0.998097524,0.999990828,0.001893304
gci32_Aciip,7742607000,1.21963E+11,1.14221E+11,0.839486579,0.999864057,0.160377478
gci32_Acapacity,2377695000,2377695000,0,0.985076997,0.989490875,0.004413878
gci32_Acop,1.00E-12,160695766,160695766,0.89918444,1,0.10081556
gci33_Maudit,2593949000,2593949000,0,0.966884187,0.96553627,-0.001347917
gci33_Mrisk,1110583000,13681331082,12570748082,0.738312952,0.999946619,0.261633666
gci33_Mmaturity,6467040000,19411715957,12944675957,0.937429926,0.999213146,0.06178322
gci34_Copstrategy,1.00E-12,160695766,160695766,0.711226211,1,0.288773789
gci34_Copreporting,1.00E-12,160695766,160695766,0.719913277,1,0.280086723
gci41_AWmsme,1.00E-12,160695766,160695766,0.99975692,0.99998282,0.000225899
gci41_AWprivate,78557000,78557000,0,0.999999994,0.999999993,-8.96E-10
gci41_AWpublic,1042307000,208461400,-833845600,1,1,-4.02E-11
gci41_AWsociety,145358000,145358000,0,1,1,6.52E-13
gci41_AWgeneral,3983644000,796728800,-3186915200,0.999999998,0.999999994,-3.42E-09
gci41_AWelderly,1.00E-12,1.00E-12,0,0.999999991,0.999999991,0
gci41_AWdisability,1.00E-12,1.00E-12,0,0.999999804,0.999999804,0
gci41_AWcop,1.00E-12,160695766,160695766,0.999571569,0.99997778,0.000406211
gci41_AWchildren,1.00E-12,160695766,160695766,0.998626332,0.999896393,0.001270061
gci42_Tprofessional,11380745000,2276149000,-9104596000,0.999999998,0.999999995,-2.93E-09
gci42_Tacreditation,1580213000,316042600,-1264170400,0.999999999,0.999999996,-2.41E-09
gci42_Tsector,1247784000,249556800,-998227200,0.999999986,0.999999979,-6.61E-09
gci43_Cprimary,1.00E-12,160695766,160695766,0.405208008,1,0.594791992
gci43_Csecondary,1.00E-12,160695766,160695766,0.458408969,0.999991856,0.541582887
gci43_Chigher,7908462000,7908462000,0,0.970331476,0.961455584,-0.008875892
gci44_Rndprivate,1.00E-12,160695766,160695766,0.986838458,1,0.013161542
gci44_Rndpublic,104141000,56876335841,56772194841,0.725874596,0.99997443,0.274099834
gci44_RndAcademic,2515303000,2515303000,0,0.986660285,0.9921882,0.005527915
gci44_Evalscheme,7431375000,6531881200,-899493800.4,0.99636051,0.999997256,0.003636746
gci45_Dindustry,577454000,577454000,0,0.993783591,0.994964388,0.001180797
gci45_Dassociation,148105000,466920473.8,318815473.8,0.869690093,0.996410109,0.126720016
gci46_Icapacitydev,2058323000,2058323000,0,0.990289025,0.993783415,0.00349439
gci46_Iindustry,477721000,1790667554,1312946554,0.929368908,0.999480338,0.07011143
gci46_Irnd,1.00E-12,3534213725,3534213725,0.721974664,0.999820687,0.277846023
gci51_Bcountry,602996000,160695766,-442300234,0.999999999,0.999999999,-3.57E-10
gci51_Bregintl,1404265000,280853000,-1123412000,1,1,0
gci52_Minfosharing,803425000,160695766,-642729234,0.999999995,0.999999983,-1.15E-08
gci52_Mcapacitydev,114146000,114146000,0,0.99999998,0.999999976,-3.33E-09
gci53_Mlat,1.00E-12,141994155.5,141994155.5,0.727365957,1,0.272634043
gci54_PPPdomestic,307981000,4658458223,4350477223,0.543047405,0.998583447,0.455536042
gci54_PPPforeign,194864000,194864000,0,0.957469577,0.980322895,0.022853318
gci55_Coordination,1897582000,1897582000,0,0.9530537,0.951790766,-0.001262934
